county_id,report_year,Total
1,2020,3353
2,2020,15
3,2020,40
4,2020,76
5,2020,7
6,2020,28
7,2020,1355
8,2020,30
9,2020,173
10,2020,921
11,2020,14
12,2020,112
13,2020,27
14,2020,37
15,2020,279
16,2020,144
17,2020,15
18,2020,5
19,2020,19236
20,2020,113
21,2020,706
22,2020,16
23,2020,144
24,2020,130
25,2020,4
26,2020,32
27,2020,422
28,2020,374
29,2020,93
30,2020,5242
31,2020,351
32,2020,7
33,2020,1464
34,2020,1777
35,2020,50
36,2020,1338
37,2020,6874
38,2020,1505
39,2020,389
40,2020,493
41,2020,4070
42,2020,494
43,2020,15406
44,2020,281
45,2020,96
46,2020,1
47,2020,63
48,2020,372
49,2020,743
50,2020,145
51,2020,31
52,2020,32
53,2020,8
54,2020,103
55,2020,47
56,2020,845
57,2020,324
58,2020,16
1,2021,3697
2,2021,14
3,2021,39
4,2021,94
5,2021,21
6,2021,38
7,2021,1451
8,2021,29
9,2021,179
10,2021,1133
11,2021,14
12,2021,150
13,2021,31
14,2021,42
15,2021,416
16,2021,204
17,2021,14
18,2021,13
19,2021,20950
20,2021,130
21,2021,739
22,2021,24
23,2021,160
24,2021,125
25,2021,12
26,2021,32
27,2021,452
28,2021,393
29,2021,116
30,2021,5852
31,2021,419
32,2021,7
33,2021,1548
34,2021,1813
35,2021,47
36,2021,1367
37,2021,10080
38,2021,1630
39,2021,442
40,2021,566
41,2021,4511
42,2021,557
43,2021,15987
44,2021,307
45,2021,86
46,2021,1
47,2021,72
48,2021,471
49,2021,794
50,2021,151
51,2021,27
52,2021,35
53,2021,6
54,2021,123
55,2021,78
56,2021,894
57,2021,394
58,2021,32
1,2022,4430
2,2022,6
3,2022,34
4,2022,146
5,2022,25
6,2022,34
7,2022,1503
8,2022,39
9,2022,189
10,2022,1291
11,2022,14
12,2022,154
13,2022,49
14,2022,48
15,2022,691
16,2022,410
17,2022,14
18,2022,16
19,2022,27015
20,2022,190
21,2022,1027
22,2022,46
23,2022,186
24,2022,135
25,2022,12
26,2022,38
27,2022,424
28,2022,396
29,2022,169
30,2022,5383
31,2022,455
32,2022,7
33,2022,1635
34,2022,2040
35,2022,45
36,2022,1682
37,2022,7735
38,2022,1952
39,2022,632
40,2022,650
41,2022,4557
42,2022,512
43,2022,17621
44,2022,359
45,2022,153
46,2022,1
47,2022,67
48,2022,482
49,2022,816
50,2022,188
51,2022,22
52,2022,87
53,2022,14
54,2022,231
55,2022,58
56,2022,858
57,2022,412
58,2022,75
1,2023,5893
2,2023,12
3,2023,34
4,2023,157
5,2023,23
6,2023,37
7,2023,1632
8,2023,46
9,2023,258
10,2023,1292
11,2023,8
12,2023,157
13,2023,52
14,2023,83
15,2023,832
16,2023,431
17,2023,18
18,2023,16
19,2023,31569
20,2023,203
21,2023,1020
22,2023,62
23,2023,229
24,2023,182
25,2023,12
26,2023,52
27,2023,491
28,2023,478
29,2023,149
30,2023,6771
31,2023,622
32,2023,7
33,2023,1835
34,2023,2253
35,2023,27
36,2023,1957
37,2023,8583
38,2023,2431
39,2023,825
40,2023,777
41,2023,5533
42,2023,648
43,2023,20220
44,2023,359
45,2023,227
46,2023,2
47,2023,77
48,2023,608
49,2023,902
50,2023,249
51,2023,35
52,2023,94
53,2023,15
54,2023,291
55,2023,55
56,2023,930
57,2023,468
58,2023,69
1,2024,7738
2,2024,22
3,2024,67
4,2024,315
5,2024,48
6,2024,47
7,2024,2570
8,2024,61
9,2024,348
10,2024,1922
11,2024,36
12,2024,319
13,2024,155
14,2024,139
15,2024,1450
16,2024,492
17,2024,107
18,2024,23
19,2024,72994
20,2024,276
21,2024,1372
22,2024,141
23,2024,339
24,2024,280
25,2024,15
26,2024,92
27,2024,787
28,2024,765
29,2024,206
30,2024,9982
31,2024,855
32,2024,32
33,2024,3018
34,2024,3704
35,2024,61
36,2024,3227
37,2024,11595
38,2024,3480
39,2024,1164
40,2024,1202
41,2024,7747
42,2024,1316
43,2024,29361
44,2024,519
45,2024,326
46,2024,4
47,2024,149
48,2024,926
49,2024,1561
50,2024,430
51,2024,57
52,2024,189
53,2024,22
54,2024,389
55,2024,101
56,2024,1282
57,2024,770
58,2024,95
