County,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,
Alameda,36,34,27,49,54,58,62,55,51,53,57,55,
Amador,2,2,2,2,2,2,3,3,2,3,3,3,
Butte,9,10,10,11,13,13,13,15,11,13,11,12,
Calaveras,2,2,2,2,3,3,3,3,3,3,4,3,
Colusa,5,5,2,4,4,3,4,7,11,11,12,18,
Contra Costa,20,21,17,24,26,28,34,27,23,28,29,27,
Del Norte,1,1,1,2,2,2,2,2,2,1,1,1,
El Dorado,7,6,6,9,9,10,9,10,8,11,12,11,
Fresno,40,29,25,50,46,45,51,49,66,91,85,81,
Glenn,5,5,5,6,14,19,17,19,18,17,21,22,
Humboldt,12,14,5,13,14,9,8,7,6,10,11,12,
Imperial,8,10,11,11,16,12,22,25,24,27,30,27,
Inyo,2,4,3,4,4,4,3,4,4,3,4,3,
Kern,158,148,171,160,149,121,108,105,116,137,226,238,
Kings,9,6,6,9,6,7,9,9,7,10,9,7,
Lake,2,3,3,3,1,3,4,4,4,4,5,4,
Lassen,1,1,2,3,4,1,1,2,1,2,2,2,
Los Angeles,245,239,267,328,309,301,253,276,299,224,295,290,
Madera,28,23,31,33,31,33,31,24,32,37,54,60,
Marin,3,3,2,3,4,4,3,4,4,5,5,5,
Mariposa,1,1,2,1,2,1,1,1,1,2,1,1,
Mendocino,9,6,5,7,10,6,6,8,9,10,10,9,
Merced,55,62,68,69,66,42,39,36,30,33,67,62,
Mono,1,1,1,1,1,1,1,1,1,1,1,1,
Monterey,30,27,18,29,28,27,26,26,22,27,27,25,
Napa,7,3,3,8,7,7,7,7,6,6,7,6,
Nevada,4,2,6,8,9,9,8,8,8,8,8,7,
Orange,46,42,51,59,59,61,55,56,53,46,66,62,
Placer,15,12,13,16,17,17,17,17,35,20,26,28,
Plumas,1,1,1,1,1,2,1,1,1,2,3,3,
Riverside,107,109,138,152,145,148,132,122,144,146,173,180,
Sacramento,32,21,29,36,42,48,45,41,44,45,51,50,
San Bernardino,189,206,210,253,252,265,195,178,159,198,258,267,
San Diego,74,73,93,111,105,103,103,110,94,117,115,107,
San Francisco,4,5,2,6,6,6,5,5,4,5,6,6,
San Joaquin,99,113,119,131,131,126,117,113,93,97,128,144,
San Luis Obispo,13,12,17,24,23,21,22,22,20,22,24,22,
San Mateo,10,10,6,19,14,17,17,19,13,16,15,14,
Santa Barbara,13,15,18,26,25,19,24,19,17,17,22,19,
Santa Clara,32,35,35,47,34,36,48,42,35,50,44,45,
Santa Cruz,5,6,3,6,6,6,7,6,8,7,8,7,
Shasta,19,22,18,27,24,25,24,16,14,22,22,22,
Siskiyou,20,19,20,26,22,21,17,17,18,18,18,18,
Solano,16,17,11,18,19,24,25,27,27,30,32,27,
Sonoma,16,18,17,20,23,23,22,32,30,30,35,32,
Stanislaus,30,19,27,33,22,34,36,35,39,49,56,72,
Sutter,4,5,3,5,6,4,5,6,5,4,5,5,
Tehama,42,47,35,48,39,38,20,18,8,17,26,31,
Tulare,32,39,43,43,42,41,34,45,51,66,70,78,
Tuolumne,2,2,2,3,3,3,3,3,3,4,3,4,
Ventura,27,29,34,34,32,36,33,35,32,35,40,37,
Yolo,33,37,40,35,37,30,28,26,22,28,39,35,
Yuba,4,4,3,3,5,9,12,5,4,12,5,5,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
