County,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,,,,,
Alameda,379,370,310,328,366,378,361,389,378,380,388,386,,,,,
Amador,28,22,26,23,24,25,29,29,25,27,27,26,,,,,
Butte,102,95,98,104,103,99,95,98,96,94,97,100,,,,,
Calaveras,27,26,31,26,28,28,27,27,26,27,28,26,,,,,
Colusa,20,28,26,23,22,20,19,21,20,19,20,24,,,,,
Contra Costa,297,301,268,269,283,281,255,290,287,289,293,300,,,,,
Del Norte,14,14,14,12,13,13,13,14,14,13,13,13,,,,,
El Dorado,78,69,73,74,78,78,76,81,78,80,84,86,,,,,
Fresno,344,329,318,328,343,341,338,364,365,370,366,380,,,,,
Glenn,22,26,24,23,24,23,20,22,22,22,22,26,,,,,
Humboldt,89,95,70,88,81,74,83,84,85,84,79,78,,,,,
Imperial,69,73,89,77,78,78,82,84,79,78,85,89,,,,,
Inyo,25,24,28,27,25,21,24,25,25,26,26,25,,,,,
Kern,359,355,361,346,363,356,364,371,371,379,390,401,,,,,
Kings,58,59,63,62,60,58,63,62,62,63,65,69,,,,,
Lake,37,46,43,37,40,38,39,41,39,37,40,38,,,,,
Lassen,19,17,23,25,22,20,12,23,20,19,23,22,,,,,
Los Angeles,"2,009","2,019","2,105","2,008","2,091","2,076","2,078","2,063","2,034","2,057","2,110","2,115",,,,,
Madera,69,54,67,60,74,70,64,75,78,78,81,83,,,,,
Marin,70,62,53,69,65,61,53,60,64,65,67,67,,,,,
Mariposa,23,19,18,22,22,19,21,22,21,20,19,20,,,,,
Mendocino,61,65,58,58,65,51,59,62,59,61,60,66,,,,,
Merced,95,94,101,107,110,106,112,114,115,114,124,123,,,,,
Mono,15,22,24,23,22,18,22,24,21,20,22,22,,,,,
Monterey,140,148,121,155,144,140,142,142,137,140,147,153,,,,,
Napa,38,35,23,42,36,37,39,37,36,36,41,42,,,,,
Nevada,43,30,35,47,43,44,40,42,41,38,41,45,,,,,
Orange,671,658,722,678,685,674,669,647,642,645,675,683,,,,,
Placer,141,124,136,145,137,131,132,127,127,128,129,133,,,,,
Plumas,28,22,34,27,24,21,27,30,30,31,34,36,,,,,
Riverside,534,525,581,583,565,572,582,569,562,572,609,633,,,,,
Sacramento,379,366,319,379,384,384,381,385,380,388,408,414,,,,,
San Benito,15,12,14,12,14,16,15,18,17,16,17,17,,,,,
San Bernardino,564,573,602,598,619,613,616,613,609,621,655,693,,,,,
San Diego,791,783,827,822,806,779,784,758,746,753,755,773,,,,,
San Francisco,102,108,79,91,93,93,80,92,92,90,93,94,,,,,
San Joaquin,233,229,220,255,236,238,240,255,244,250,256,266,,,,,
San Luis Obispo,99,108,113,123,108,107,111,104,105,106,110,112,,,,,
San Mateo,201,185,144,185,204,196,188,198,197,199,203,201,,,,,
Santa Barbara,126,130,124,134,126,125,131,125,120,121,126,131,,,,,
Santa Clara,402,415,365,394,410,399,374,404,397,406,413,411,,,,,
Santa Cruz,89,84,67,91,82,81,78,78,81,84,82,84,,,,,
Shasta,128,120,119,140,134,140,136,131,126,128,127,131,,,,,
Siskiyou,46,28,34,51,47,45,47,48,44,45,48,48,,,,,
Solano,154,142,125,136,144,152,143,150,149,153,152,156,,,,,
Sonoma,140,151,142,143,156,149,139,155,147,150,160,159,,,,,
Stanislaus,189,169,173,191,190,187,193,194,192,201,203,208,,,,,
Sutter,37,37,38,41,43,41,38,41,38,39,40,40,,,,,
Tehama,43,36,35,44,41,42,41,40,41,43,42,44,,,,,
Trinity,15,17,20,22,20,18,18,20,19,18,18,19,,,,,
Tulare,219,199,216,200,211,219,207,229,227,229,235,240,,,,,
Tuolumne,38,36,35,37,38,35,31,34,33,32,29,30,,,,,
Ventura,191,198,205,200,200,207,200,199,194,196,207,211,,,,,
Yolo,64,66,67,71,80,82,77,83,80,83,92,95,,,,,
Yuba,34,44,37,38,43,40,44,41,43,46,47,50,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
